INFO:root:2016-11-03 00:00:00.000000 | Total BTC: 0.40141549948713995 | Total rand: R4148.23
INFO:root:2016-11-04 00:00:00.000000 | Total BTC: 0.41784722448658 | Total rand: R4169.7
INFO:root:2016-11-05 00:00:00.000000 | Total BTC: 0.41443335052036 | Total rand: R4150.14
INFO:root:2016-11-06 00:00:00.000000 | Total BTC: 0.41466896481204 | Total rand: R4192.3
INFO:root:2016-11-07 00:00:00.000000 | Total BTC: 0.41033985812628004 | Total rand: R4206.8
INFO:root:2016-11-08 00:00:00.000000 | Total BTC: 0.41685839399354 | Total rand: R4270.71
INFO:root:2016-11-09 00:00:00.000000 | Total BTC: 0.42033979433938 | Total rand: R4266.87
INFO:root:2016-11-10 00:00:00.000000 | Total BTC: 0.41049049709396 | Total rand: R4218.2
INFO:root:2016-11-11 00:00:00.000000 | Total BTC: 0.41158444201846 | Total rand: R4266.9
INFO:root:2016-11-12 00:00:00.000000 | Total BTC: 0.41477976174259995 | Total rand: R4392.93
INFO:root:2016-11-13 00:00:00.000000 | Total BTC: 0.41578008062294003 | Total rand: R4385.23
INFO:root:2016-11-14 00:00:00.000000 | Total BTC: 0.41843181364398 | Total rand: R4380.56
INFO:root:2016-11-15 00:00:00.000000 | Total BTC: 0.41958027771876005 | Total rand: R4391.75
INFO:root:2016-11-16 00:00:00.000000 | Total BTC: 0.41782636134564 | Total rand: R4415.17
INFO:root:2016-11-17 00:00:00.000000 | Total BTC: 0.40213435174288004 | Total rand: R4396.53
INFO:root:2016-11-18 00:00:00.000000 | Total BTC: 0.40257416554138004 | Total rand: R4468.57
INFO:root:2016-11-19 00:00:00.000000 | Total BTC: 0.39394088742140004 | Total rand: R4519.68
INFO:root:2016-11-20 00:00:00.000000 | Total BTC: 0.39489512872358 | Total rand: R4518.39
INFO:root:2016-11-21 00:00:00.000000 | Total BTC: 0.3992561427466 | Total rand: R4416.57
INFO:root:2016-11-22 00:00:00.000000 | Total BTC: 0.39911020356627996 | Total rand: R4466.44
INFO:root:2016-11-23 00:00:00.000000 | Total BTC: 0.4038106593202 | Total rand: R4578.81
INFO:root:2016-11-24 00:00:00.000000 | Total BTC: 0.40704163193672 | Total rand: R4574.74
INFO:root:2016-11-25 00:00:00.000000 | Total BTC: 0.40079831974838004 | Total rand: R4467.7
INFO:root:2016-11-26 00:00:00.000000 | Total BTC: 0.40073452776584 | Total rand: R4528.3
INFO:root:2016-11-27 00:00:00.000000 | Total BTC: 0.40102986709148003 | Total rand: R4631.9
INFO:root:2016-11-28 00:00:00.000000 | Total BTC: 0.40155854344714004 | Total rand: R4545.64
INFO:root:2016-11-29 00:00:00.000000 | Total BTC: 0.39693853374894006 | Total rand: R4371.88
INFO:root:2016-11-30 00:00:00.000000 | Total BTC: 0.38786780904560003 | Total rand: R4259.95
INFO:root:2016-12-01 00:00:00.000000 | Total BTC: 0.39999388217488 | Total rand: R4463.53
INFO:root:2016-12-02 00:00:00.000000 | Total BTC: 0.39305682788032004 | Total rand: R4402.24
INFO:root:2016-12-03 00:00:00.000000 | Total BTC: 0.37517049016857995 | Total rand: R4268.69
INFO:root:2016-12-04 00:00:00.000000 | Total BTC: 0.38092701933820006 | Total rand: R4278.57
INFO:root:2016-12-05 00:00:00.000000 | Total BTC: 0.3734491161478001 | Total rand: R4215.49
INFO:root:2016-12-06 00:00:00.000000 | Total BTC: 0.36196214179722 | Total rand: R4021.76
INFO:root:2016-12-07 00:00:00.000000 | Total BTC: 0.37152234412498 | Total rand: R4173.31
INFO:root:2016-12-08 00:00:00.000000 | Total BTC: 0.37977826448834 | Total rand: R4225.79
INFO:root:2016-12-09 00:00:00.000000 | Total BTC: 0.37885130376094 | Total rand: R4226.09
INFO:root:2016-12-10 00:00:00.000000 | Total BTC: 0.3825542874666801 | Total rand: R4296.47
INFO:root:2016-12-11 00:00:00.000000 | Total BTC: 0.37542979142742 | Total rand: R4238.6
INFO:root:2016-12-12 00:00:00.000000 | Total BTC: 0.37891936110624 | Total rand: R4244.28
INFO:root:2016-12-13 00:00:00.000000 | Total BTC: 0.37992348106076 | Total rand: R4275.28
INFO:root:2016-12-14 00:00:00.000000 | Total BTC: 0.37907990874656006 | Total rand: R4253.28
INFO:root:2016-12-15 00:00:00.000000 | Total BTC: 0.37967933205752 | Total rand: R4257.34
INFO:root:2016-12-16 00:00:00.000000 | Total BTC: 0.37502246188586 | Total rand: R4229.88
INFO:root:2016-12-17 00:00:00.000000 | Total BTC: 0.37426615834562 | Total rand: R4235.2
INFO:root:2016-12-18 00:00:00.000000 | Total BTC: 0.37150074427196 | Total rand: R4231.02
INFO:root:2016-12-19 00:00:00.000000 | Total BTC: 0.37476497129204006 | Total rand: R4271.2
INFO:root:2016-12-20 00:00:00.000000 | Total BTC: 0.37087282103030006 | Total rand: R4263.18
INFO:root:2016-12-21 00:00:00.000000 | Total BTC: 0.3674362493171 | Total rand: R4253.81
INFO:root:2016-12-22 00:00:00.000000 | Total BTC: 0.3643443887431 | Total rand: R4372.13
INFO:root:2016-12-23 00:00:00.000000 | Total BTC: 0.35858321883356004 | Total rand: R4565.48
INFO:root:2016-12-24 00:00:00.000000 | Total BTC: 0.35379631289395996 | Total rand: R4795.71
INFO:root:2016-12-25 00:00:00.000000 | Total BTC: 0.35989348320000003 | Total rand: R4785.14
INFO:root:2016-12-26 00:00:00.000000 | Total BTC: 0.35803741265266 | Total rand: R4689.93
INFO:root:2016-12-27 00:00:00.000000 | Total BTC: 0.35977642765398 | Total rand: R4792.22
INFO:root:2016-12-28 00:00:00.000000 | Total BTC: 0.36681505049788005 | Total rand: R4981.72
INFO:root:2016-12-29 00:00:00.000000 | Total BTC: 0.37145918638832004 | Total rand: R5146.2
INFO:root:2016-12-30 00:00:00.000000 | Total BTC: 0.37382501104126004 | Total rand: R5302.33
INFO:root:2016-12-31 00:00:00.000000 | Total BTC: 0.37384412580318005 | Total rand: R5233.82
INFO:root:2017-01-01 00:00:00.000000 | Total BTC: 0.37632683701340003 | Total rand: R5362.66
INFO:root:2017-01-02 00:00:00.000000 | Total BTC: 0.37080852712902 | Total rand: R5506.51
INFO:root:2017-01-03 00:00:00.000000 | Total BTC: 0.38213336143446 | Total rand: R5781.68
INFO:root:2017-01-04 00:00:00.000000 | Total BTC: 0.38879411859198004 | Total rand: R5897.62
INFO:root:2017-01-05 00:00:00.000000 | Total BTC: 0.39379015367886 | Total rand: R6475.88
INFO:root:2017-01-06 00:00:00.000000 | Total BTC: 0.40001726011106 | Total rand: R5989.46
INFO:root:2017-01-07 00:00:00.000000 | Total BTC: 0.4093756819952 | Total rand: R5444.7
INFO:root:2017-01-08 00:00:00.000000 | Total BTC: 0.39934038981386 | Total rand: R5402.68
INFO:root:2017-01-09 00:00:00.000000 | Total BTC: 0.40432029879774 | Total rand: R5465.2
INFO:root:2017-01-10 00:00:00.000000 | Total BTC: 0.41028162838424004 | Total rand: R5424.33
INFO:root:2017-01-11 00:00:00.000000 | Total BTC: 0.41259941171701997 | Total rand: R5458.28
INFO:root:2017-01-12 00:00:00.000000 | Total BTC: 0.41830242780122 | Total rand: R4969.43
INFO:root:2017-01-13 00:00:00.000000 | Total BTC: 0.41515800883888 | Total rand: R4932.49
INFO:root:2017-01-14 00:00:00.000000 | Total BTC: 0.40493248479267996 | Total rand: R4838.54
INFO:root:2017-01-15 00:00:00.000000 | Total BTC: 0.40709370562950004 | Total rand: R4881.05
INFO:root:2017-01-16 00:00:00.000000 | Total BTC: 0.40440100618874003 | Total rand: R4802.67
INFO:root:2017-01-17 00:00:00.000000 | Total BTC: 0.39841675853006 | Total rand: R4807.3
INFO:root:2017-01-18 00:00:00.000000 | Total BTC: 0.39784460064262 | Total rand: R5115.88
INFO:root:2017-01-19 00:00:00.000000 | Total BTC: 0.40164136840758 | Total rand: R5040.2
